movie_id,movie_name,year,genre,rating,description,votes,score
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",460673.0,7.38899747102935
tt1677720,Ready Player One,2018,"Action, Adventure, Sci-Fi",7.4,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",443870.0,7.388583756176877
tt4425200,John Wick: Chapter 2,2017,"Action, Crime, Thriller",7.4,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",441113.0,7.388512885023866
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.4,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",389332.0,7.38699677386108
tt2381249,Mission: Impossible - Rogue Nation,2015,"Action, Adventure, Thriller",7.4,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,378784.0,7.3866375154189985
tt6146586,John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",7.4,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",352539.0,7.385651121756618
tt0117500,The Rock,1996,"Action, Adventure, Thriller",7.4,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",342892.0,7.385250925021759
tt1197624,Law Abiding Citizen,2009,"Action, Crime, Drama",7.4,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,302444.0,7.38329777962747
tt2397535,Predestination,2014,"Action, Drama, Sci-Fi",7.4,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",287386.0,7.382431674939266
tt7888964,Nobody,2021,"Action, Crime, Drama",7.4,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",262223.0,7.380764863059151
